ID,Count
18288,568.65397331711
18289,554.001792187054
18290,539.252694012061
18291,525.334783251954
18292,513.343854590537
18293,503.862787642995
18294,497.486468653667
18295,494.302066890979
18296,494.364742141353
18297,497.293318034556
18298,502.707233693625
18299,509.913323835388
18300,518.297859806282
18301,527.075953927512
18302,535.629751574584
18303,543.294829309452
18304,549.637840350212
18305,554.261304896371
18306,557.019912245918
18307,557.834093192867
18308,556.851140845425
18309,554.266407412055
18310,550.441050306384
18311,545.735629680023
18312,540.599044185968
18313,535.421726931077
18314,530.60972860301
18315,526.463723972715
18316,523.248788685316
18317,521.102034059944
18318,520.103672388381
18319,520.211764964728
18320,521.33517861466
18321,523.290123139546
18322,525.871847488396
18323,528.825414372264
18324,531.911207525991
18325,534.882172853911
18326,537.538493257846
18327,539.705109204646
18328,541.272778569914
18329,542.172394958308
18330,542.402257776035
18331,541.998649907519
18332,541.051609810616
18333,539.673602098503
18334,538.007715204918
18335,536.197536265181
18336,534.392152976378
18337,532.720388568664
18338,531.296309233486
18339,530.200005057907
18340,529.485847771667
18341,529.170477267237
18342,529.24433051395
18343,529.665942036884
18344,530.375776683955
18345,531.294822761092
18346,532.338865387049
18347,533.418896307128
18348,534.453796704819
18349,535.370331195811
18350,536.112683618242
18351,536.640569675438
18352,536.934939723848
18353,536.993743954925
18354,536.834069415528
18355,536.48601593851
18356,535.992288142223
18357,535.401253104835
18358,534.765382655887
18359,534.134753108998
18360,533.555684678161
18361,533.065732134201
18362,532.693477107148
18363,532.455574976296
18364,532.358084070516
18365,532.39555999956
18366,532.553738399668
18367,532.81017894778
18368,533.137708618807
18369,533.505836266386
18370,533.884195926622
18371,534.243923588937
18372,534.560418888147
18373,534.814065876656
18374,534.991892242409
18375,535.087337677476
18376,535.100729128406
18377,535.038144148289
18378,534.910931049923
18379,534.733982952118
18380,534.524731621297
18381,534.301280257559
18382,534.081352003339
18383,533.880712802313
18384,533.712469777705
18385,533.586079815277
18386,533.507215478531
18387,533.477458044202
18388,533.494743153592
18389,533.553643731953
18390,533.646235080414
18391,533.762736396007
18392,533.892537176857
18393,534.024914390642
18394,534.149953095143
18395,534.259089915942
18396,534.345728063655
18397,534.405453349829
18398,534.436255842753
18399,534.438385655938
18400,534.414211817246
18401,534.36779406715
18402,534.304500350826
18403,534.230439971202
18404,534.152003923502
18405,534.075321704007
18406,534.005879642
18407,533.948132610472
18408,533.905305667368
18409,533.879229507042
18410,533.870360583657
18411,533.877837876768
18412,533.899688890594
18413,533.933046345085
18414,533.974460249855
18415,534.02018069816
18416,534.06647911715
18417,534.109901968232
18418,534.147516914976
18419,534.17706713308
18420,534.197092028526
18421,534.206951807312
18422,534.206814605237
18423,534.197562465167
18424,534.180674260086
18425,534.158055604777
18426,534.131870202126
18427,534.104350543595
18428,534.077635255083
18429,534.053613637023
18430,534.03381491739
18431,534.019321840129
18432,534.010735431899
18433,534.008168239268
18434,534.011283194096
18435,534.01935364328
18436,534.031354494092
18437,534.046060149765
18438,534.062155170942
18439,534.078335804633
18440,534.093407337671
18441,534.106359810766
18442,534.116428255428
18443,534.123125344368
18444,534.12625478942
18445,534.125898535344
18446,534.122388021769
18447,534.11625654003
18448,534.108183794536
18449,534.09893193879
18450,534.089283570479
18451,534.07998142662
18452,534.071678325341
18453,534.064896206059
18454,534.06000009158
18455,534.057184254831
18456,534.056473595627
18457,534.057735983038
18458,534.060706285845
18459,534.065016923828
18460,534.070234316909
18461,534.07589602547
18462,534.081547648635
18463,534.086775087531
18464,534.091231779452
18465,534.094657900164
18466,534.096892155189
18467,534.097874721104
18468,534.097643018978
18469,534.096320223288
18470,534.094098936579
18471,534.0912207761
18472,534.08795453367
18473,534.084573896225
18474,534.081337082436
18475,534.078469095794
18476,534.076148244835
18477,534.074497016211
18478,534.073578077978
18479,534.073394808675
18480,534.073896330567
18481,534.074985903503
18482,534.076532118851
18483,534.078381505144
18484,534.08037179249
18485,534.082344532105
18486,534.084156451451
18487,534.08568859154
18488,534.086852961653
18489,534.087596245061
18490,534.087900721104
18491,534.087782414376
18492,534.087287001308
18493,534.086483831109
18494,534.085458793476
18495,534.084306539307
18496,534.08312279086
18497,534.081997197992
18498,534.081007309209
18499,534.08021391788
18500,534.079658082909
18501,534.079359824389
18502,534.07931850945
18503,534.079514691428
18504,534.079913196035
18505,534.080467067543
18506,534.081122057294
18507,534.081821234119
18508,534.082509407555
18509,534.083137018708
18510,534.083663293567
18511,534.084058460646
18512,534.084304980658
18513,534.08439775801
18514,534.084343431921
18515,534.084158857391
18516,534.083868978932
18517,534.083504287394
18518,534.083098100416
18519,534.082683865604
18520,534.082292697109
18521,534.08195129253
18522,534.081680362211
18523,534.081493629993
18524,534.081397439299
18525,534.081390930848
18526,534.081466737844
18527,534.081612094149
18528,534.081810245505
18529,534.082042026754
18530,534.082287481128
18531,534.082527393199
18532,534.082744635891
18533,534.082925243973
18534,534.083059163723
18535,534.083140647856
18536,534.083168301612
18537,534.083144803587
18538,534.08307635353
18539,534.082971908497
18540,534.082842284751
18541,534.082699200499
18542,534.082554337294
18543,534.082418485189
18544,534.082300829068
18545,534.082208414371
18546,534.082145817419
18547,534.082115025091
18548,534.082115515811
18549,534.082144516965
18550,534.082197405631
18551,534.082268209552
18552,534.082350163841
18553,534.082436276711
18554,534.082519862801
18555,534.082595006965
18556,534.082656931301
18557,534.082702246269
18558,534.082729078208
18559,534.082737074153
18560,534.082727294842
18561,534.082702013069
18562,534.082664440914
18563,534.08261841168
18564,534.082568044229
18565,534.082517415558
18566,534.082470265236
18567,534.082429750325
18568,534.082398264639
18569,534.082377329718
18570,534.082367559487
18571,534.082368694532
18572,534.082379697588
18573,534.082398897684
18574,534.082424168286
18575,534.082453123221
18576,534.082483314595
18577,534.082512417865
18578,534.082538391719
18579,534.082559603135
